Name,StartTime,EndTime,BodyWeight,Exercise,Equipment,Reps,Weight,Time,Distance,Status,IsWarmup,RPE,RIR,Categories,Note
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Incline Dumbell Press,Dumbbell,7,"17,5",,,Done,false,,,"Pectorals,Deltoids,Triceps",
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Incline Dumbell Press,Dumbbell,6,"22,5",,,Done,false,,,"Pectorals,Deltoids,Triceps",
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Incline Dumbell Press,Dumbbell,6,"22,5",,,Done,false,,,"Pectorals,Deltoids,Triceps",
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Incline Dumbell Press,Dumbbell,6,"22,5",,,Done,false,,,"Pectorals,Deltoids,Triceps",
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Chest Fly,Cable,8,"8,75",,,Done,false,,,"Pectorals,Deltoids,Triceps,Biceps",
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Chest Fly,Cable,9,"11,25",,,Done,false,,,"Pectorals,Deltoids,Triceps,Biceps",
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Chest Fly,Cable,8,"11,75",,,Done,false,,,"Pectorals,Deltoids,Triceps,Biceps",
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Chest Fly,Cable,6,"13,75",,,Done,false,,,"Pectorals,Deltoids,Triceps,Biceps",
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Triceps Extension,Cable,13,"16,25",,,Done,false,,,Triceps,
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Triceps Extension,Cable,9,"18,75",,,Done,false,,,Triceps,
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Triceps Extension,Cable,8,"13,75",,,Done,false,,,Triceps,
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Triceps Kickback,Cable,8,"3,75",,,Done,false,,,Triceps,
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Triceps Kickback,Cable,10,"3,75",,,Done,false,,,Triceps,
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Triceps Kickback,Cable,12,"3,75",,,Done,false,,,Triceps,
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Triceps Kickback,Cable,15,"1,25",,,Done,false,,,Triceps,
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Machine Chest,Machine,9,"40,0",,,Done,false,,,Pectorals,
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Machine Chest,Machine,5,"47,0",,,Done,false,,,Pectorals,
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Machine Chest,Machine,8,"33,0",,,Done,false,,,Pectorals,
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Forearms with barbell,Barbell,15,"17,5",,,Done,false,,,Forearms,
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Forearms with barbell,Barbell,15,"20,0",,,Done,false,,,Forearms,
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Forearms with barbell,Barbell,12,"20,0",,,Done,false,,,Forearms,
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Forearms with barbell,Barbell,12,"20,0",,,Done,false,,,Forearms,
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Forearms EZ bar,EZ bar,8,"5,0",,,Done,false,,,Forearms,
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Forearms EZ bar,EZ bar,8,"5,0",,,Done,false,,,Forearms,
Push,2025-02-23T10:13:53Z,2025-02-23T11:08:47Z,"94,0",Forearms EZ bar,EZ bar,8,"5,0",,,Done,false,,,Forearms,
Legs focus ischio,2025-02-26T11:09:46Z,2025-02-26T11:51:37Z,"94,0",Squat,Barbell,8,"20,0",,,Done,false,,,"Gluteals,Quadriceps,Hamstrings,Core stabilizer,Spinal erectors",
Legs focus ischio,2025-02-26T11:09:46Z,2025-02-26T11:51:37Z,"94,0",Squat,Barbell,8,"60,0",,,Done,false,,,"Gluteals,Quadriceps,Hamstrings,Core stabilizer,Spinal erectors",
Legs focus ischio,2025-02-26T11:09:46Z,2025-02-26T11:51:37Z,"94,0",Squat,Barbell,5,"80,0",,,Done,false,,,"Gluteals,Quadriceps,Hamstrings,Core stabilizer,Spinal erectors",
Legs focus ischio,2025-02-26T11:09:46Z,2025-02-26T11:51:37Z,"94,0",Squat,Barbell,5,"90,0",,,Done,false,,,"Gluteals,Quadriceps,Hamstrings,Core stabilizer,Spinal erectors",
Legs focus ischio,2025-02-26T11:09:46Z,2025-02-26T11:51:37Z,"94,0",Squat,Barbell,3,"100,0",,,Done,false,,,"Gluteals,Quadriceps,Hamstrings,Core stabilizer,Spinal erectors",
Legs focus ischio,2025-02-26T11:09:46Z,2025-02-26T11:51:37Z,"94,0",Single Leg RDL,None,10,"60,0",,,Done,false,,,Hamstrings,
Legs focus ischio,2025-02-26T11:09:46Z,2025-02-26T11:51:37Z,"94,0",Single Leg RDL,None,6,"80,0",,,Done,false,,,Hamstrings,
Legs focus ischio,2025-02-26T11:09:46Z,2025-02-26T11:51:37Z,"94,0",Single Leg RDL,None,6,"70,0",,,Done,false,,,Hamstrings,
Legs focus ischio,2025-02-26T11:09:46Z,2025-02-26T11:51:37Z,"94,0",Leg Curl,Machine,8,"53,0",,,Done,false,,,"Calves,Hamstrings",
Legs focus ischio,2025-02-26T11:09:46Z,2025-02-26T11:51:37Z,"94,0",Leg Curl,Machine,8,"46,0",,,Done,false,,,"Calves,Hamstrings",
Legs focus ischio,2025-02-26T11:09:46Z,2025-02-26T11:51:37Z,"94,0",Leg Curl,Machine,8,"46,0",,,Done,false,,,"Calves,Hamstrings",
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Incline Dumbell Press,Dumbbell,5,"15,0",,,Done,false,,,"Pectorals,Deltoids,Triceps",
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Incline Dumbell Press,Dumbbell,8,"17,5",,,Done,false,,,"Pectorals,Deltoids,Triceps",
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Incline Dumbell Press,Dumbbell,5,"22,5",,,Done,false,,,"Pectorals,Deltoids,Triceps",
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Incline Dumbell Press,Dumbbell,6,"20,0",,,Done,false,,,"Pectorals,Deltoids,Triceps",
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Chest Fly,Cable,10,"10,0",,,Done,false,,,"Pectorals,Deltoids,Triceps,Biceps",
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Chest Fly,Cable,8,"12,5",,,Done,false,,,"Pectorals,Deltoids,Triceps,Biceps",
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Chest Fly,Cable,8,"12,5",,,Done,false,,,"Pectorals,Deltoids,Triceps,Biceps",
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Chest Fly,Cable,8,"10,0",,,Done,false,,,"Pectorals,Deltoids,Triceps,Biceps",
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Triceps Extension,Cable,11,"16,25",,,Done,false,,,Triceps,
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Triceps Extension,Cable,8,"18,75",,,Done,false,,,Triceps,
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Triceps Extension,Cable,8,"13,75",,,Done,false,,,Triceps,
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Triceps Kickback,Cable,8,"3,75",,,Done,false,,,Triceps,
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Triceps Kickback,Cable,10,"3,75",,,Done,false,,,Triceps,
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Triceps Kickback,Cable,8,"6,25",,,Done,false,,,Triceps,
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Lateral Raise,Cable,10,"3,75",,,Done,false,,,"Deltoids,Obliques",
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Lateral Raise,Cable,6,"6,25",,,Done,false,,,"Deltoids,Obliques",
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Lateral Raise,Cable,10,"4,75",,,Done,false,,,"Deltoids,Obliques",
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Lateral Raise,Cable,8,"4,75",,,Done,false,,,"Deltoids,Obliques",
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Forearms with barbell,Barbell,12,"20,0",,,Done,false,,,Forearms,
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Forearms with barbell,Barbell,10,"25,0",,,Done,false,,,Forearms,
Push,2025-02-28T11:13:07Z,2025-02-28T11:58:14Z,"94,0",Forearms with barbell,Barbell,10,"25,0",,,Done,false,,,Forearms,
Pull,2025-03-02T10:25:59Z,2025-03-02T11:27:54Z,"94,0",T-Bar Row,None,10,"35,0",,,Done,false,,,"Trapezius,Lat",
Pull,2025-03-02T10:25:59Z,2025-03-02T11:27:54Z,"94,0",T-Bar Row,None,8,"40,0",,,Done,false,,,"Trapezius,Lat",
Pull,2025-03-02T10:25:59Z,2025-03-02T11:27:54Z,"94,0",T-Bar Row,None,8,"42,5",,,Done,false,,,"Trapezius,Lat",
Pull,2025-03-02T10:25:59Z,2025-03-02T11:27:54Z,"94,0",T-Bar Row,None,8,"40,0",,,Done,false,,,"Trapezius,Lat",
Pull,2025-03-02T10:25:59Z,2025-03-02T11:27:54Z,"94,0",Chin up,None,5,"0,0",,,Done,false,,,"Biceps,Lat",
Pull,2025-03-02T10:25:59Z,2025-03-02T11:27:54Z,"94,0",Chin up,None,3,"0,0",,,Done,false,,,"Biceps,Lat",
Pull,2025-03-02T10:25:59Z,2025-03-02T11:27:54Z,"94,0",Chin up,None,3,"0,0",,,Done,false,,,"Biceps,Lat",
Pull,2025-03-02T10:25:59Z,2025-03-02T11:27:54Z,"94,0",Incline dumbell curl,None,12,"12,5",,,Done,false,,,Biceps,
Pull,2025-03-02T10:25:59Z,2025-03-02T11:27:54Z,"94,0",Incline dumbell curl,None,8,"12,5",,,Done,false,,,Biceps,
Pull,2025-03-02T10:25:59Z,2025-03-02T11:27:54Z,"94,0",Incline dumbell curl,None,7,"12,5",,,Done,false,,,Biceps,
Pull,2025-03-02T10:25:59Z,2025-03-02T11:27:54Z,"94,0",Reverse curl,None,7,"7,5",,,Done,false,,,"Biceps,Forearms",
Pull,2025-03-02T10:25:59Z,2025-03-02T11:27:54Z,"94,0",Reverse curl,None,9,"7,5",,,Done,false,,,"Biceps,Forearms",
Pull,2025-03-02T10:25:59Z,2025-03-02T11:27:54Z,"94,0",Reverse curl,None,8,"7,5",,,Done,false,,,"Biceps,Forearms",
